place  ,type    ,population,latitude,longitude
London,City,8173941,51.508530,-0.125740
Birmingham,City,1085810,52.481420,-1.899830
Glasgow,City,589900,55.865150,-4.257630
Liverpool,City,552267,53.410580,-2.977940
Bristol,City,535907,51.455230,-2.596650
Sheffield,City,518090,53.382970,-1.465900
Manchester,City,510746,53.480950,-2.237430
Leeds,City,474632,53.796480,-1.547850
Edinburgh,City,468720,55.952060,-3.196480
Leicester,City,443760,52.638600,-1.131690
Bradford,City,349561,53.793910,-1.752060
Cardiff,City,335145,51.480000,-3.180000
Coventry,City,325949,52.406560,-1.512170
Nottingham,City,289301,52.953600,-1.150470
Hull,City,284321,53.744600,-0.335250
Stoke-on-Trent,City,270726,53.004150,-2.185380
Newcastle,City,268064,54.973280,-1.613960
Wolverhampton,City,265178,52.585470,-2.122960
Derby,City,255394,52.922770,-1.476630
Southampton,City,253651,50.903950,-1.404280
Portsmouth,City,238137,50.798990,-1.091250
Plymouth,City,234982,50.371530,-4.143050
Brighton,City,229700,50.828380,-0.139470
Westminster,City,218791,51.508530,-0.125740
Reading,Town,218705,51.456250,-0.971130
Northampton,Town,215173,52.250000,-0.883330
Luton,Town,211228,51.879670,-0.417480
Bolton,Town,194189,53.583330,-2.433330
Aberdeen,City,189120,57.143690,-2.098140
Bournemouth,Town,187503,50.720480,-1.879500
Norwich,City,186682,52.627830,1.298340
Swindon,Town,182441,51.557970,-1.781160
Swansea,City,179485,51.620790,-3.943230
Southend-on-Sea,Town,175547,51.537820,0.714330
Middlesbrough,Town,174700,54.576230,-1.234830
Sunderland,City,174286,54.904650,-1.382220
Milton Keynes,Town,171750,52.041720,-0.755830
Warrington,Town,165456,53.392540,-2.580240
Huddersfield,Town,162949,53.649040,-1.784160
Peterborough,City,161707,52.573640,-0.247770
Oxford,City,159994,51.752220,-1.255960
Slough,Town,155298,51.509490,-0.595410
Poole,Town,154718,50.716670,-2.000000
York,City,152841,53.957630,-1.082710
Blackpool,Town,147663,53.816670,-3.050000
Cambridge,City,145818,52.200000,0.116670
Ipswich,Town,144957,52.059170,1.155450
Dundee,City,144170,56.500000,-2.966670
Birkenhead,Town,142968,53.393370,-3.014790
Telford,Town,142723,52.676590,-2.449260
Gloucester,City,136362,51.865680,-2.243100
Sale,Town,134022,53.425190,-2.324430
Watford,Town,131982,51.655310,-0.396020
Newport,City,128060,51.587740,-2.998350
Solihull,Town,123187,52.414260,-1.780940
High Wycombe,Town,120256,51.629070,-0.749340
Gateshead,Town,120046,54.962090,-1.601680
Colchester,Town,119441,51.889210,0.904210
Blackburn,Town,117963,53.750000,-2.483330
Cheltenham,Town,116447,51.900000,-2.083330
Exeter,City,113507,50.723600,-3.527510
Chelmsford,City,110507,51.735750,0.469580
Doncaster,Town,109805,53.523270,-1.136910
Rotherham,Town,109691,53.430120,-1.356780
Eastbourne,Town,109185,50.768710,0.284530
Worthing,Town,109120,50.814480,-0.371260
Sutton Coldfield,Town,109015,52.566670,-1.816670
Rochdale,Town,107926,53.617660,-2.155200
Maidstone,Town,107627,51.266670,0.516670
Basingstoke,Town,107355,51.262490,-1.087080
Basildon,Town,107123,51.568440,0.457820
Crawley,Town,106943,51.113030,-0.183120
Stockport,Town,105878,53.409790,-2.157610
Woking,Town,105367,51.319030,-0.558930
Gillingham,Town,104157,51.389140,0.548630
Salford,City,103886,53.487710,-2.290420
Wigan,Town,103608,53.533330,-2.616670
St. Helens,Town,102885,53.450000,-2.733330
Lincoln,City,100160,53.226830,-0.537920
Worcester,City,100153,52.189350,-2.220010
Wakefield,City,99251,53.683310,-1.497680
Preston,City,97886,53.766670,-2.716670
Oldham,Town,96555,53.540510,-2.118300
Rayleigh,Town,95580,51.585710,0.604590
Hemel Hempstead,Town,94932,51.753690,-0.475170
Bath,City,94782,51.377950,-2.359070
Darlington,Town,92363,54.524290,-1.550390
West Bromwich,Town,91930,52.518680,-1.994500
Southport,Town,91703,53.647790,-3.006480
Barnsley,Town,91297,53.550000,-1.483330
Hastings,Town,91053,50.855190,0.572920
Stevenage,Town,89663,51.902240,-0.202560
Hartlepool,Town,88855,54.686110,-1.212500
Chesterfield,Town,88483,53.250000,-1.416670
Grimsby,Town,88243,53.565390,-0.075530
Halifax,Town,88134,53.716670,-1.850000
Bedford,Town,87590,52.134590,-0.466320
Nuneaton,Town,86552,52.523230,-1.465230
Chester,City,86011,53.190500,-2.891890
Weston-Super-Mare,Town,83641,51.346030,-2.976650
